mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate
,,Open,10/1/2024,,2024-10-01T16:03:34.000+0000
,,Closed,10/1/2024,,2024-10-01T16:14:47.000+0000
,003V500000CkPStIAN,,10/1/2024,,2024-10-01T16:21:01.000+0000
,003V500000CkPSuIAN,,10/1/2024,,2024-10-01T16:21:01.000+0000
,,Customer Response,10/1/2024,,2024-10-01T16:21:02.000+0000
,,Open,10/1/2024,,2024-10-01T16:31:47.000+0000
,,Completed,10/1/2024,,2024-10-01T16:45:30.000+0000
,,Customer Response,10/1/2024,,2024-10-01T16:47:39.000+0000
,003V500000Cke3fIAB,,10/1/2024,webhelp-access-requested,2024-10-01T16:49:06.000+0000
00QV5000006N7k4MAC,,Qualified,10/1/2024,webhelp-access-requested,2024-10-01T16:49:08.000+0000
,003V500000Cke3gIAB,,10/1/2024,Support Case,2024-10-01T16:49:08.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T16:50:14.000+0000
,,Escalated,10/1/2024,,2024-10-01T16:55:14.000+0000
,,Evaluation,10/1/2024,,2024-10-01T17:01:04.000+0000
,,Evaluation,10/1/2024,,2024-10-01T17:04:42.000+0000
00QV500000AZvDlMAL,,Suspect,10/1/2024,6sense SI,2024-10-01T17:05:00.000+0000
,,Open,10/1/2024,,2024-10-01T17:09:23.000+0000
00QV500000AZtQUMA1,,Suspect,10/1/2024,6sense SI,2024-10-01T17:10:12.000+0000
,,Open,10/1/2024,,2024-10-01T17:10:19.000+0000
,,Customer Response,10/1/2024,,2024-10-01T17:12:37.000+0000
00QV500000AZw1mMAD,,Suspect,10/1/2024,6sense SI,2024-10-01T17:13:22.000+0000
00QV500000AZxVhMAL,,Suspect,10/1/2024,6sense SI,2024-10-01T17:16:42.000+0000
00QV500000AZy3ZMAT,,Suspect,10/1/2024,6sense SI,2024-10-01T17:20:08.000+0000
00QV500000AZyDFMA1,,Suspect,10/1/2024,6sense SI,2024-10-01T17:21:59.000+0000
,,Closed,10/1/2024,,2024-10-01T17:22:49.000+0000
,,Escalated,10/1/2024,,2024-10-01T17:24:53.000+0000
,,Escalated,10/1/2024,,2024-10-01T17:25:06.000+0000
00QV500000AZshKMAT,,Suspect,10/1/2024,6sense SI,2024-10-01T17:25:19.000+0000
,,Customer Response,10/1/2024,,2024-10-01T17:25:26.000+0000
,,Customer Response,10/1/2024,,2024-10-01T17:25:42.000+0000
,,Customer Response,10/1/2024,,2024-10-01T17:27:33.000+0000
,,Evaluation,10/1/2024,,2024-10-01T17:28:25.000+0000
00QV500000AZzSgMAL,,Suspect,10/1/2024,6sense SI,2024-10-01T17:32:21.000+0000
,,Escalated,10/1/2024,,2024-10-01T17:33:29.000+0000
,,Closed,10/1/2024,,2024-10-01T17:34:56.000+0000
,,Closed,10/1/2024,,2024-10-01T17:35:55.000+0000
,,Suspect,10/1/2024,,2024-10-01T17:36:28.000+0000
,,Closed,10/1/2024,,2024-10-01T17:37:28.000+0000
,,Closed,10/1/2024,,2024-10-01T17:39:32.000+0000
,,Suspect,10/1/2024,,2024-10-01T17:41:30.000+0000
00QV500000Aa1RGMAZ,,Suspect,10/1/2024,Website,2024-10-01T18:04:59.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T18:05:43.000+0000
,,Open,10/1/2024,,2024-10-01T18:06:44.000+0000
,,Customer Response,10/1/2024,,2024-10-01T18:08:27.000+0000
,,Customer Response,10/1/2024,,2024-10-01T18:08:46.000+0000
,,Customer Response,10/1/2024,,2024-10-01T18:08:55.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T18:11:04.000+0000
